014643324	|||	und					Revolvit cor meum: the common English translation of the Fourty-Fifth Psalm, carefully corrected ... with a paraphrase and notes: whereunto is prefixed some account of the parish of Eccleston near Chester ... by Thomas Crane. [electronic resource]		[Chester] : T. Crane, 1774.			Crane, Thomas, Minister of St. Olave, Chester.		lsidyv3a9d90df
014750837	|||	eng					Parochial Pickings; or, an Appeal to the common sense of the inhabitants of the Parish of St. Luke, Chelsea. [electronic resource]		London : S. Maunder, 1831.					lsidyv306bd9d2
014750873	|||	eng			HARDY, Peter, FRS.		An Account of the several Charities and Estates belonging to the Parish of Enfield. Extracted from the Parish Records ... by P. Hardy. [With maps and plans.] [electronic resource]		Tottenham : Published by subscription, [1834]					lsidyv32c00d10
014750936	|||	eng					An Account of the Estates, Trust, and other property, belonging to the Parish of St. Giles, Camberwell. [electronic resource]		London, 1818.					lsidyv306bd8b5
014756050	|||	eng			ANGELL, Charles Frederick.		Some Account of the Parish Church of St. Mary's, at Town Sutton, or Sutton Valence in the County of Kent. [electronic resource]		London : J. E. Adlard, 1874.					lsidyv3c0bf5ab -- lsidyv3c36e074
014756070	|||	eng			Birkbeck, Morris, 1764-1825.		[Notes on a Journey through France, from Dieppe through Paris and Lyons, to the Pyrennees, and back through Toulouse, in July, August and September, 1814, etc. [With an appendix.]] [electronic resource]	The fifth edition, etc.	London : William Phillips, 1815.					lsidyv3beb6ffd
014756099	|||	eng			CAUSTON, Henry Kent Staple.		Begin. To the Parishioners of the Parish of St. Edmund the King and Martyr, Lombard Street. [A reply by H. K. S. Causton to a statement impugning his father's conduct.] [electronic resource]		London : [H. K. Causton, 1847]					lsidyv3bc3ae5a
014756117	|||	eng			COX, John Charles, Rector of Holdenby, Northampton.		[How to write the History of a Parish.] [electronic resource]	Third edition; enlarged and re-written.	London ; Derby : Bemrose & Sons, 1886.					lsidyv3beed12c
014756149	|||	eng			EUSTACE, John Chetwode.		[A letter from Paris [historical and descriptive] to G. Petre, Esq.] [electronic resource]	Third edition.	London, 1814.					lsidyv3bebbf86
014756150	|||	eng			EUSTACE, John Chetwode.		A Letter from Paris to G. Petre ... Fourth edition. [electronic resource]		London : J. Mawman, 1814.					lsidyv3bebb87b
014756151	|||	eng			EUSTACE, John Chetwode.		[A Letter from Paris to G. Petre ... Fourth edition.] [electronic resource]	Fifth edition.	London, 1814.					lsidyv3beb2743
